run,type,module,name,attrname,attrvalue,vectime,vecvalue
Secure50_record-0-20250915-22:43:50-99407,runattr,,,configname,Secure50_record,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,datetime,20250915-22:43:50,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,datetimef,20250915-224350,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,experiment,Secure50_record,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,inifile,run_record.ini,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,iterationvars,,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,iterationvarsd,,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,iterationvarsf,,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,measurement,,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,processid,99407,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,repetition,0,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,replication,#0,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,resultdir,results,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,runnumber,0,,
Secure50_record-0-20250915-22:43:50-99407,runattr,,,seedset,102,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.result-recording-modes,all,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.scalar-recording,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.vector-recording,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-scalar-file,results/delay/Secure50_record_s102.sca,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-vector-file,results/delay/Secure50_record_s102.vec,,
Secure50_record-0-20250915-22:43:50-99407,config,,,record-eventlog,false,,
Secure50_record-0-20250915-22:43:50-99407,config,,,seed-set,102,,
Secure50_record-0-20250915-22:43:50-99407,config,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99407,config,,,LightIoTNetwork.numSensorNodes,50,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.enabled,false,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.sensor[*].mode,"""Secure""",,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.securityEnabled,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,description,Secure Mode Simulation (includes all scenarios),,
Secure50_record-0-20250915-22:43:50-99407,config,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99407,config,,,ned-path,.,,
Secure50_record-0-20250915-22:43:50-99407,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99407,config,,,record-eventlog,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,cmdenv-express-mode,false,,
Secure50_record-0-20250915-22:43:50-99407,config,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99407,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-scalar-file,results/secure_output.sca,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-vector-file,results/secure_output.vec,,
Secure50_record-0-20250915-22:43:50-99407,config,,,network,LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99407,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-scalar-file,results/nosecure_output.sca,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-vector-file,results/nosecure_output.vec,,
Secure50_record-0-20250915-22:43:50-99407,config,,,network,LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99407,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-scalar-file,results/attack_output.sca,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-vector-file,results/attack_output.vec,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-scalar-file,results/Secure50_record-0.sca,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-vector-file,results/Secure50_record-0.vec,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.scalar-recording,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.vector-recording,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.statistic-recording,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.result-recording-modes,all,,
Secure50_record-0-20250915-22:43:50-99407,config,,,rng-class,cMersenneTwister,,
Secure50_record-0-20250915-22:43:50-99407,config,,,num-rngs,1,,
Secure50_record-0-20250915-22:43:50-99407,config,,,seed-set,123,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-scalar-file,results/Secure50_record-0.sca,,
Secure50_record-0-20250915-22:43:50-99407,config,,,output-vector-file,results/Secure50_record-0.vec,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.scalar-recording,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.vector-recording,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.result-recording-modes,all,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.sensor[*].sendInterval,0.5s,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.sensor[*].mode,"""Secure""",,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.procDelay,1ms,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.hmacWindow,1s,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.costForward_mJ,5,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.costVerify_mJ,5,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.batteryInit_mJ,5000,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.securityEnabled,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.checkHmac,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.checkFreshness,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.checkDuplicate,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.duplicateMethod,"""set""",,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.bloomBits,16384,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.bloomHashes,3,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.sbfBits,16384,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.sbfHashes,3,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.gateway.sbfDecay,0.02,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.enabled,false,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.attackMode,1,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.replayInterval,2.5s,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.validMac,true,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.replayId,100000,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.replayTsUs,500000,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.dupBurstLen,4,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.dupBurstGap,200ms,,
Secure50_record-0-20250915-22:43:50-99407,config,,,**.fakeNode.outOfOrderJitter,80ms,,
Secure50_record-0-20250915-22:43:50-99407,config,,,sim-time-limit,10s,,
