run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack50_record-0-20250915-22:43:51-99451,runattr,,,configname,Attack50_record,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,datetime,20250915-22:43:51,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,datetimef,20250915-224351,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,experiment,Attack50_record,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,inifile,run_record.ini,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,iterationvars,,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,iterationvarsd,,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,iterationvarsf,,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,measurement,,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,processid,99451,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,repetition,0,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,replication,#0,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,resultdir,results,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,runnumber,0,,
Attack50_record-0-20250915-22:43:51-99451,runattr,,,seedset,104,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.result-recording-modes,all,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.scalar-recording,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.vector-recording,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-scalar-file,results/delay/Attack50_record_s104.sca,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-vector-file,results/delay/Attack50_record_s104.vec,,
Attack50_record-0-20250915-22:43:51-99451,config,,,record-eventlog,false,,
Attack50_record-0-20250915-22:43:51-99451,config,,,seed-set,104,,
Attack50_record-0-20250915-22:43:51-99451,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99451,config,,,LightIoTNetwork.numSensorNodes,50,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.sensor[*].mode,"""Secure""",,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.fakeNode.enabled,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.fakeNode.validMac,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.securityEnabled,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.hmacWindow,3s,,
Attack50_record-0-20250915-22:43:51-99451,config,,,description,Secure Mode Simulation (includes all scenarios),,
Attack50_record-0-20250915-22:43:51-99451,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99451,config,,,ned-path,.,,
Attack50_record-0-20250915-22:43:51-99451,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99451,config,,,record-eventlog,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,cmdenv-express-mode,false,,
Attack50_record-0-20250915-22:43:51-99451,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99451,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-scalar-file,results/secure_output.sca,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-vector-file,results/secure_output.vec,,
Attack50_record-0-20250915-22:43:51-99451,config,,,network,LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99451,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-scalar-file,results/nosecure_output.sca,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-vector-file,results/nosecure_output.vec,,
Attack50_record-0-20250915-22:43:51-99451,config,,,network,LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99451,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-scalar-file,results/attack_output.sca,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-vector-file,results/attack_output.vec,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-scalar-file,results/Attack50_record-0.sca,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-vector-file,results/Attack50_record-0.vec,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.scalar-recording,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.vector-recording,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.statistic-recording,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.result-recording-modes,all,,
Attack50_record-0-20250915-22:43:51-99451,config,,,rng-class,cMersenneTwister,,
Attack50_record-0-20250915-22:43:51-99451,config,,,num-rngs,1,,
Attack50_record-0-20250915-22:43:51-99451,config,,,seed-set,123,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-scalar-file,results/Attack50_record-0.sca,,
Attack50_record-0-20250915-22:43:51-99451,config,,,output-vector-file,results/Attack50_record-0.vec,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.scalar-recording,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.vector-recording,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.result-recording-modes,all,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.sensor[*].sendInterval,0.5s,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.sensor[*].mode,"""Secure""",,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.procDelay,1ms,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.hmacWindow,1s,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.costForward_mJ,5,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.costVerify_mJ,5,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.batteryInit_mJ,5000,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.securityEnabled,true,,
Attack50_record-0-20250915-22:43:51-99451,config,,,**.gateway.checkHmac,true,,
