run,type,module,name,attrname,attrvalue,vectime,vecvalue
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,configname,NoSec20_record,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,datetime,20250915-22:43:51,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,datetimef,20250915-224351,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,experiment,NoSec20_record,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,inifile,run_record.ini,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,iterationvars,,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,iterationvarsd,,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,iterationvarsf,,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,measurement,,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,processid,99413,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,repetition,0,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,replication,#0,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,resultdir,results,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,runnumber,0,,
NoSec20_record-0-20250915-22:43:51-99413,runattr,,,seedset,103,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.result-recording-modes,all,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.scalar-recording,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.vector-recording,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-scalar-file,results/delay/NoSec20_record_s103.sca,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-vector-file,results/delay/NoSec20_record_s103.vec,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,record-eventlog,false,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,seed-set,103,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,LightIoTNetwork.numSensorNodes,20,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.enabled,false,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.sensor[*].mode,"""NoSecurity""",,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.securityEnabled,false,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.procDelay,0s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.costVerify_mJ,0,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,description,Secure Mode Simulation (includes all scenarios),,
NoSec20_record-0-20250915-22:43:51-99413,config,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,ned-path,.,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,record-eventlog,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,cmdenv-express-mode,false,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-scalar-file,results/secure_output.sca,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-vector-file,results/secure_output.vec,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,network,LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-scalar-file,results/nosecure_output.sca,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-vector-file,results/nosecure_output.vec,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,network,LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-scalar-file,results/attack_output.sca,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-vector-file,results/attack_output.vec,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-scalar-file,results/NoSec20_record-0.sca,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-vector-file,results/NoSec20_record-0.vec,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.scalar-recording,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.vector-recording,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.statistic-recording,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.result-recording-modes,all,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,rng-class,cMersenneTwister,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,num-rngs,1,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,seed-set,123,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-scalar-file,results/NoSec20_record-0.sca,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,output-vector-file,results/NoSec20_record-0.vec,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.scalar-recording,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.vector-recording,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.result-recording-modes,all,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.sensor[*].sendInterval,0.5s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.sensor[*].mode,"""Secure""",,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.procDelay,1ms,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.hmacWindow,1s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.costForward_mJ,5,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.costVerify_mJ,5,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.batteryInit_mJ,5000,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.securityEnabled,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.checkHmac,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.checkFreshness,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.checkDuplicate,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.duplicateMethod,"""set""",,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.bloomBits,16384,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.bloomHashes,3,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.sbfBits,16384,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.sbfHashes,3,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.gateway.sbfDecay,0.02,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.enabled,false,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.attackMode,1,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.replayInterval,2.5s,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.validMac,true,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.replayId,100000,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.replayTsUs,500000,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.dupBurstLen,4,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.dupBurstGap,200ms,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,**.fakeNode.outOfOrderJitter,80ms,,
NoSec20_record-0-20250915-22:43:51-99413,config,,,sim-time-limit,10s,,
